Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Yarra,0.012588566,0.907366506,0.107142857,0.019607843,0
Yarra Valley,0.180038768,0.528425591,0,0.019607843,0
Yarraville,0.164854507,0.847748382,0.214285714,0.019607843,0.263157895
Boronia,0.246156588,0.586092171,0.178571429,0.235294118,0.263157895
Ivanhoe,0.126888285,0.848230022,0.25,0.078431373,0.210526316
Broadmeadows,0.029644401,0.444409466,0.178571429,0.039215686,0.526315789
Blackburn South,0.120237512,0.705981971,0.321428571,0.019607843,0.157894737
Braeside,0.000646139,0.33791954,0,0,0
Narre Warren,0.152377345,0.631881811,0,0.176470588,0.368421053
Brighton,0.252829642,0.996096627,0.428571429,0.156862745,0.421052632
Glen Iris - East,0.036373156,1,0,0,0
Brighton East,0.176440444,0.916160933,0.321428571,0.019607843,0.210526316
Box Hill North,0.195534958,0.730990215,0.285714286,0.058823529,0.157894737
Warrandyte - Wonga Park,0.111949111,0.948929598,0,0.019607843,0.052631579
Box Hill,0.220890335,0.655011902,0.178571429,0.176470588,0.210526316
Braybrook,0.203088098,0.590533686,0.214285714,0.019607843,0.315789474
Hurstbridge,0.038434116,0.731823678,0,0,0.105263158
Berwick,0.542478054,0.736393344,0.428571429,0.431372549,0.684210526
Bentleigh East,0.312174146,0.764265446,0.357142857,0.078431373,0.263157895
Bentleigh - McKinnon,0.062430373,0.807336151,0.357142857,0.196078431,0.210526316
Croydon,0.317866851,0.612453557,0.392857143,0.215686275,0.421052632
Hampton,0.065505102,0.872296314,0.285714286,0.039215686,0.157894737
Blackburn,0.238202397,0.766774954,0.214285714,0.117647059,0.263157895
Carlton,0.021166615,0.582524518,0.321428571,0.039215686,0.157894737
Niddrie - Essendon West,0.07712446,0.760452325,0,0,0.157894737
Belgrave - Selby,0.111614901,0.744100604,0.178571429,0.039215686,0.210526316
